,z1,z2,z3,z4,u1,u2,u3,u4
Barbati_25-34,0.5788213834660374,0.003198176473552824,-1.4589409242882165,4.4841229600197785,,,,
Barbati_35-44,0.5788213834660374,0.003198176473552824,-1.4589409242882165,4.4841229600197785,,,,
Barbati_45-64,0.5785940153082315,0.9999890470414324,0.024827412028270508,0.11073118096576332,,,,
Barbati_65_,0.5788213854618204,0.0012037988464735196,-0.9634844068371844,7.84669126765055,,,,
Femei_18-24,,,,,0.9696149416652551,-2.7834299964278053e-13,59.88568689527845,3209.028657039355
Femei_35-44,,,,,0.8951371168355886,8.630311090930531,-1443.172799963762,11961.850075957602
Femei_45-64,,,,,0.9704166609694741,0.030036414690151374,1.1061341623199151e-13,-4.036914667821662e-12
Femei_65_,,,,,0.970411599694611,-1.0000127339637566,-1.824786718562308,-97.78284555861904
