,Index KMO
Barbati_18-24,0.484138095472355
Barbati_25-34,0.5281836261147115
Barbati_35-44,0.6909714781904885
Barbati_45-64,0.15304271566833588
Barbati_65_,0.5780990736299986
Femei_18-24,0.5367035682716036
Femei_25-34,0.17358893208680914
Femei_35-44,0.3740606046105113
Femei_45-64,0.20897954316793715
Femei_65_,0.2921686718092253
Total,0.3557207401959094
